aid,treatid,test,value
an17,halo(0.1)/a,test,2459
an18,halo(0.1)/a,test,2653
an19,halo(0.1)/a,test,2453
an20,halo(0.1)/a,test,1742
an21,halo(0.1)/a,test,2552
an22,halo(0.1)/a,test,2244
an23,halo(0.1)/a,test,2494
an24,halo(0.1)/a,test,2009
an25,TBPB (10)/a,test,2519
an26,TBPB (10)/a,test,2508
an27,TBPB (10)/a,test,2553
an28,TBPB (10)/a,test,2231
an29,TBPB (10)/a,test,2853
an30,TBPB (10)/a,test,2664
an31,TBPB (10)/a,test,3007
an32,TBPB (10)/a,test,2472
an33,TBPB (30)/a,test,3274
an34,TBPB (30)/a,test,3754
an35,TBPB (30)/a,test,1470
an36,TBPB (30)/a,test,1869
an37,TBPB (30)/a,test,2076
an38,TBPB (30)/a,test,1627
an39,TBPB (30)/a,test,3412
an40,TBPB (30)/a,test,1436
an41,TBPB (56)/a,test,915
an42,TBPB (56)/a,test,2385
an43,TBPB (56)/a,test,1822
an44,TBPB (56)/a,test,1522
an45,TBPB (56)/a,test,1655
an46,TBPB (56)/a,test,2076
an47,TBPB (56)/a,test,1038
an48,TBPB (56)/a,test,1789
an9,v/amph,test,2673
an10,v/amph,test,5842
an11,v/amph,test,3861
an12,v/amph,test,2376
an13,v/amph,test,4161
an14,v/amph,test,3737
an15,v/amph,test,3738
an16,v/amph,test,2214
an1,v/v,test,2340
an2,v/v,test,2454
an3,v/v,test,2324
an4,v/v,test,2810
an5,v/v,test,3516
an6,v/v,test,3921
an7,v/v,test,2434
an8,v/v,test,3269
